Latin	Family	Authority	1994	1997	1998
Acacia melanoceras	Fabaceae	Beurl.	23	19	19
Acalypha diversifolia	Euphorbiaceae	Jacq.	14	18	22
Acalypha macrostachya	Euphorbiaceae	Jacq.	1	2	2
Adelia triloba	Euphorbiaceae	(M√ºll.Arg.) Hemsl.	5	6	6
Aegiphila panamensis	Lamiaceae	Moldenke	2	1	1
Albizia adinocephala	Fabaceae	(Donn. Sm.) Britton & Rose	55	53	57
Albizia procera	Fabaceae	(Roxb.) Benth.	2	2	2
Alchornea costaricensis	Euphorbiaceae	Pax & K. Hoffm. in Engl.	2	1	1
Alibertia edulis	Rubiaceae	(Rich.) A. Rich.	253	228	224
Alseis blackiana	Rubiaceae	Hemsl.	4	4	4
Amaioua corymbosa	Rubiaceae	Kunth	12	13	13
Anacardium excelsum	Anacardiaceae	(Bert. & Balb. ex Kunth) Skeels	128	124	124
Andira inermis	Fabaceae	(W. Wright) DC.	16	15	15
Unidentified sp.1	Unknown		3	3	3
Annona hayesii	Annonaceae	Saff. in Standl.	109	107	111
Annona purpurea	Annonaceae	Moc. & Sess√© ex Dunal	4	1	1
Annona spraguei	Annonaceae	Saff.	5	7	8
Pittoniotis trichantha	Rubiaceae	Griseb.	87	82	80
Aphelandra scabra	Acanthaceae	(Vahl) Sm.	8	6	6
Ardisia revoluta	Myrsinaceae	Kunth	3	3	3
Astronium graveolens	Anacardiaceae	Jacq.	272	255	260
Bactris barronis	Arecaceae	L.H. Bailey	12	12	13
Bactris coloradonis	Arecaceae	L.H. Bailey	1	1	1
Bactris major	Arecaceae	Jacq.	84	68	67
Banara guianensis	Salicaceae	Aubl.	0	1	1
Brosimum alicastrum	Moraceae	Sw.	503	515	533
Bunchosia odorata	Malpighiaceae	(Jacq.) Kunth	3	3	6
Bursera simaruba	Burseraceae	(L.) Sarg.	27	26	23
Calycolpus warszewiczianus	Myrtaceae	O. Berg	1	1	1
Calycophyllum candidissimum	Rubiaceae	(Vahl) DC.	161	155	155
Capparis frondosa	Capparaceae	Jacq.	2	3	3
Cassia moschata	Fabaceae	Kunth	1	1	1
Casearia arguta	Salicaceae	Kunth	1	1	1
Casearia arborea	Salicaceae	(Rich.) Urb.	1	1	1
Casearia commersoniana	Salicaceae	Cambess.	30	28	27
Casearia guianensis	Salicaceae	(Aubl.) Urb.	26	25	26
Casearia sylvestris	Salicaceae	Sw.	15	15	16
Cassipourea elliptica	Rhizophoraceae	(Sw.) Poir.	7	7	8
Cavanillesia platanifolia	Malvaceae	(Bonpl.) Kunth	55	56	54
Cecropia longipes	Urticaceae	Pittier	6	8	7
Cecropia obtusifolia	Urticaceae	Bertol.	1	9	9
Cecropia peltata	Urticaceae	L.	1	3	3
Cedrela odorata	Meliaceae	L.	9	7	7
Chomelia spinosa	Rubiaceae	Jacq.	2	2	1
Chrysophyllum argenteum	Sapotaceae	Jacq.	0	1	1
Chrysophyllum cainito	Sapotaceae	L.	73	69	70
Clavija mezii	Theophrastaceae	Pittier	171	164	172
Coccoloba padiformis	Polygonaceae	Meisn. in A. DC.	55	58	65
Colubrina glandulosa	Rhamnaceae	Perkins	2	2	2
Colubrina heteroneura	Rhamnaceae	(Griseb.) Standl.	1	1	1
Copaifera aromatica	Fabaceae	Dwyer	33	33	35
Cordia alliodora	Boraginaceae	(Ruiz & Pav.) Oken	7	4	5
Coussarea curvigemmia	Rubiaceae	Dwyer	609	603	616
Cryosophila warscewiczii	Arecaceae	(H. Wendl.) Bartlett	2	3	4
Cupania cinerea	Sapindaceae	Poepp.	1	1	1
Cupania latifolia	Sapindaceae	Kunth	1	0	0
Cupania rufescens	Sapindaceae	Triana & Planch.	7	8	8
Cupania scrobiculata	Sapindaceae	Rich.	2	2	0
Cupania seemannii	Sapindaceae	Triana & Planch.	159	153	157
Dalbergia retusa	Fabaceae	Hemsl.	11	11	11
Dendropanax arboreus	Araliaceae	(L.) Dec. & Planch	14	14	15
Diphysa americana	Fabaceae	(Mill.) M. Sousa	2	2	2
Elaeis oleifera	Arecaceae	(H. B. K.) Cortes	31	30	31
Erythroxylum panamense	Erythroxylaceae	Turcz.	4	3	3
Eugenia coloradoensis	Myrtaceae	Standl.	20	23	25
Eugenia principium	Myrtaceae	McVaugh	647	710	782
Eugenia hiraeifolia	Myrtaceae	Standl.	4	4	4
Faramea occidentalis	Rubiaceae	(L.) A. Rich.	578	607	634
Ficus bullenei	Moraceae	I.M. Johnst.	2	2	2
Ficus citrifolia	Moraceae	Mill.	1	1	1
Ficus insipida	Moraceae	Willd.	9	8	9
Ficus maxima	Moraceae	Mill.	2	2	2
Fissicalyx fendleri	Fabaceae	Benth.	1	1	1
Genipa americana	Rubiaceae	L.	18	18	17
Guarea glabra	Meliaceae	Vahl	193	177	174
Guarea grandifolia	Meliaceae	DC.	1	1	1
Guazuma ulmifolia	Malvaceae	Lam.	2	2	2
Heisteria concinna	Erythropalaceae	Standl.	185	250	302
Hirtella americana	Chrysobalanaceae	L.	35	36	38
Hirtella racemosa	Chrysobalanaceae	Lam.	111	107	109
Hymenaea courbaril	Fabaceae	L.	5	5	4
Inga laurina	Fabaceae	(Sw.) Willd.	42	37	33
Inga punctata	Fabaceae	Willd.	1	2	1
Inga vera	Fabaceae	Willd.	44	36	39
Ixora floribunda	Rubiaceae	(A. Rich.) Griseb.	93	98	98
Jacaranda caucana	Bignoniaceae	Pittier	2	2	2
Lacistema aggregatum	Lacistemataceae	(P.J. Bergius) Rusby	47	49	52
Lafoensia punicifolia	Lythraceae	DC.	1	1	1
Lindackeria laurina	Achariaceae	C. Presl	1	1	1
Lonchocarpus heptaphyllus	Fabaceae	(Poir.) DC.	2	2	2
Pavonia dasypetala	Malvaceae	Turcz.	2	2	2
Luehea seemannii	Malvaceae	Triana & Planch.	23	19	20
Luehea speciosa	Malvaceae	Willd.	2	1	1
Maclura tinctoria	Moraceae	(L.) D. Don ex Steud.	9	8	9
Macrocnemum roseum	Rubiaceae	(Ruiz & Pav.) Wedd.	39	37	38
Mangifera indica	Anacardiaceae	L.	3	3	3
Margaritaria nobilis	Phyllanthaceae	L. f.	5	6	5
Matayba glaberrima	Sapindaceae	Radlk.	5	5	4
Miconia argentea	Melastomataceae	(Sw.) DC.	4	4	4
Miconia impetiolaris	Melastomataceae	(Sw.) D. Don ex DC.	3	3	5
Miconia poeppigii	Melastomataceae	Triana	2	3	2
Myrcia gatunensis	Myrtaceae	Standl.	34	31	28
Myriocarpa longipes	Urticaceae	Liebm.	2	1	1
Myrospermum frutescens	Fabaceae	Jacq.	1	0	0
Nectandra lineata	Lauraceae	(Kunth) Rohwer	3	3	3
Nectandra martinicensis	Lauraceae	Mez	27	30	37
Neea sp.2	Nyctaginaceae		1	1	1
Neea delicatula	Nyctaginaceae	Standl.	38	38	40
Ochroma pyramidale	Malvaceae	(Cav. ex Lam.) Urb.	1	2	2
Ocotea rubrinervis	Lauraceae	Mez	14	13	14
Oenocarpus mapora	Arecaceae	H. Karst.	3	3	3
Ormosia macrocalyx	Fabaceae	Ducke	15	16	17
Ouratea lucens	Ochnaceae	(Kunth) Engl.	70	70	76
Palicourea guianensis	Rubiaceae	Aubl.	3	3	2
Cinnamomum triplinerve	Lauraceae	(Kunth) Koesterm.	5	5	5
Picramnia latifolia	Picramniaceae	Tul.	86	86	92
Piper arboreum	Piperaceae	Aubl.	6	7	5
Piper aequale	Piperaceae	Vahl	21	15	13
Piper cordulatum	Piperaceae	C. DC.	1	1	1
Piper colonense	Piperaceae	C. DC.	4	5	4
Piper grande	Piperaceae	Vahl	1	0	0
Piper hispidum	Piperaceae	Sw.	1	1	1
Piper reticulatum	Piperaceae	L.	181	175	178
Cojoba rufescens	Fabaceae	(Benth.) Britton & Rose	30	20	22
Pachira quinata	Malvaceae	(Jacq.) W.S. Alverson	1	1	1
Pachira sessilis	Malvaceae	Benth.	6	6	6
Posoqueria latifolia	Rubiaceae	(Rudge) Roem. & Schult.	148	150	154
Pouteria campechiana	Sapotaceae	(Kunth) Baehni	51	48	45
Prockia crucis	Salicaceae	P. Browne ex L.	2	1	1
Protium tenuifolium	Burseraceae	Engl.	593	643	694
Pseudobombax septenatum	Malvaceae	(Jacq.) Dugand	14	11	12
Psychotria acuminata	Rubiaceae	Benth.	0	1	1
Psychotria grandis	Rubiaceae	Sw.	8	7	7
Psychotria horizontalis	Rubiaceae	Sw.	5	5	7
Psychotria marginata	Rubiaceae	Sw.	0	0	1
Rosenbergiodendron formosum	Rubiaceae	(Jacq.) Fagerl.	17	17	17
Rauvolfia littoralis	Apocynaceae	Rusby	6	5	5
Rinorea lindeniana	Violaceae	(Tul.) Kuntze	75	75	79
Sapindus saponaria	Sapindaceae	L.	3	3	3
Attalea butyracea	Arecaceae	(Mutis ex L. f.)Wess. Boer.	35	30	31
Schefflera morototoni	Araliaceae	(Aubl.) Maguire, Stey. & Frod.	1	1	2
Senna dariensis	Fabaceae	(Britton & Rose) H.S. Irwin & Barneby	1	1	1
Siparuna pauciflora	Siparunaceae	(Beurl.) A. DC.	2	3	3
Sloanea terniflora	Elaeocarpaceae	(Sess√© & Moc. ex DC.) Standl.	36	35	34
Solanum cordovense	Solanaceae	SessÈ & Moc.	0	1	1
Solanum hayesii	Solanaceae	Fernald	0	2	1
Sorocea affinis	Moraceae	Hemsl.	460	512	562
Spondias mombin	Anacardiaceae	L.	17	16	15
Spondias radlkoferi	Anacardiaceae	Donn. Sm.	7	12	9
Stemmadenia grandiflora	Apocynaceae	(Jacq.) Miers	8	7	7
Sterculia apetala	Malvaceae	(Jacq.) H. Karst.	12	12	13
Stylogyne turbacensis	Myrsinaceae	(Kunth) Mez	38	36	30
Swartzia simplex	Fabaceae	(Sw.) Spreng.	193	198	216
Swartzia simplex	Fabaceae	(Sw.) Spreng.	6	6	6
Swietenia macrophylla	Meliaceae	King	4	4	4
Tabebuia rosea	Bignoniaceae	(Bertol.) A. DC.	19	19	19
Terminalia amazonia	Combretaceae	(J.F. Gmel.) Exell	2	2	2
Terminalia oblonga	Combretaceae	(Ruiz & Pav.) Steud.	3	4	4
Ternstroemia tepezapote	Pentaphylacaceae	Schltdl. & Cham.	1	0	0
Tetrathylacium johansenii	Salicaceae	Standl.	3	3	3
Thevetia ahouai	Apocynaceae	(L.) A. DC.	23	22	23
Trichilia hirta	Meliaceae	L.	14	13	13
Trichilia pleeana	Meliaceae	(A. Juss.) C. DC.	315	301	297
Trichilia martiana	Meliaceae	C. DC.	12	10	13
Trichilia tuberculata	Meliaceae	(Triana & Planch.) C. DC.	1	1	2
Trichospermum galeottii	Malvaceae	(Turcz.) Kosterm.	2	5	5
Triplaris cumingiana	Polygonaceae	Fisch. & C.A. Mey. ex C.A. Mey.	138	138	141
Trophis racemosa	Moraceae	(L.) Urb.	30	31	34
Turnera panamensis	Turneraceae	Urb.	5	6	6
Unidentified species*	Unknown		4	2	2
Vernonanthura patens	Asteraceae	(Kunth) H. Rob.	0	1	0
Vitex cooperi	Lamiaceae	Standl.	6	6	6
Xylopia frutescens	Annonaceae	Aubl.	5	4	4
Zanthoxylum panamense	Rutaceae	P. Wilson	1	1	1
Zanthoxylum acuminatum	Rutaceae	(Sw.) Sw.	1	1	1
Zuelania guidonia	Salicaceae	(Sw.) Britton & Millsp.	15	12	11
