species,Family,1996,1997,1999,2009,2016
Abarema barbouriana,Fabaceae-mimosoideae,10,12,12,10,10
Acacia melanoceras,Fabaceae-mimosoideae,1,1,1,1,0
Acalypha diversifolia,Euphorbiaceae,9,7,7,20,15
Aegiphila panamensis,Lamiaceae,1,0,0,0,0
Alchornea costaricensis,Euphorbiaceae,1,1,1,1,1
Alchornea latifolia,Euphorbiaceae,92,91,94,98,84
Alibertia edulis,Rubiaceae,2,2,2,2,1
Amaioua corymbosa,Rubiaceae,89,88,89,85,90
Andira inermis,Fabaceae-papilionoideae,41,39,39,38,33
Annona spraguei,Annonaceae,15,9,7,12,13
Apeiba membranacea,Malvaceae,100,72,67,72,79
Apeiba tibourbou,Malvaceae,14,11,10,16,12
Aphelandra sinclairiana,Acanthaceae,1,1,1,0,0
Ardisia bartlettii,Myrsinaceae,54,55,56,52,48
Ardisia guianensis,Myrsinaceae,1,0,0,0,0
Ardisia pellucida,Myrsinaceae,0,0,0,2,3
Ardisia sp.6,Myrsinaceae,1,0,0,0,0
Ardisia standleyana,Myrsinaceae,7,6,6,7,8
Aspidosperma spruceanum,Apocynaceae,356,356,366,374,386
Aulomyrcia zetekiana,Myrtaceae,51,50,49,51,44
Bactris barronis,Arecaceae,59,61,61,68,73
Bactris coloniata,Arecaceae,178,170,163,151,181
Bactris coloradonis,Arecaceae,32,33,32,33,27
Bactris major,Arecaceae,1,1,2,2,1
Bactris maraja,Arecaceae,1,1,1,9,10
Bactris panamensis,Arecaceae,43,43,41,35,30
Beilschmiedia pendula,Lauraceae,59,58,59,47,42
Bertiera guianensis,Rubiaceae,3,2,2,0,0
Besleria robusta,Gesneriaceae,0,0,0,1,0
Brosimum guianense,Moraceae,249,251,258,267,277
Brosimum utile,Moraceae,344,349,362,423,483
Byrsonima spicata,Malpighiaceae,8,8,8,13,11
Caesalpinia coriaria,Fabaceae-caesalpinioideae,0,0,0,2,1
Calophyllum longifolium,Clusiaceae,139,137,143,142,129
Carapa guianensis,Meliaceae,151,145,149,145,141
Casearia arborea,Salicaceae,3,0,0,0,1
Casearia commersoniana,Salicaceae,72,73,73,69,67
Casearia sylvestris,Salicaceae,25,23,22,17,14
Cassipourea elliptica,Rhizophoraceae,47,45,46,47,47
Castilla elastica,Moraceae,1,1,1,1,1
Cecropia garciae,Urticaceae,0,0,0,0,1
Cecropia heterochroma,Urticaceae,0,0,0,14,13
Cecropia hispidissima,Urticaceae,0,0,0,1,6
Cecropia insignis,Urticaceae,14,11,17,30,42
Cecropia obtusifolia,Urticaceae,0,0,10,7,10
Cecropia peltata,Urticaceae,2,1,7,6,1
Cespedesia spathulata,Ochnaceae,69,67,63,51,52
Cestrum megalophyllum,Solanaceae,5,3,3,2,6
Chamaedorea tepejilote,Arecaceae,0,0,0,1,1
Chamguava schippii,Myrtaceae,10,9,10,14,14
Chrysophyllum argenteum,Sapotaceae,71,69,66,70,64
Cinnamomum triplinerve,Lauraceae,20,20,19,20,23
Clavija costaricana,Theophrastaceae,4,4,4,2,5
Clidemia densiflora,Melastomataceae,2,1,0,0,0
Clidemia dentata,Melastomataceae,0,0,0,2,0
Clidemia discolor,Melastomataceae,0,0,0,5,1
Clidemia sp.1,Melastomataceae,0,1,1,0,0
Clusia pratensis,Clusiaceae,0,0,0,2,1
Coccoloba manzinellensis,Polygonaceae,2,2,2,2,2
Coccoloba padiformis,Polygonaceae,3,3,3,3,3
Conostegia bracteata,Melastomataceae,46,46,48,40,38
Conostegia montana,Melastomataceae,86,87,84,88,83
Conostegia sp.1,Melastomataceae,1,0,0,0,0
Cordia bicolor,Boraginaceae,71,70,65,59,79
Cordia panamensis,Boraginaceae,7,7,6,2,1
Cremastosperma panamense,Annonaceae,160,157,162,170,169
Crossopetalum parviflorum,Celastraceae,4,4,6,7,7
Croton billbergianus,Euphorbiaceae,0,0,0,0,1
Cupania scrobiculata,Sapindaceae,414,418,435,427,438
Cupania seemannii,Sapindaceae,0,1,1,1,1
Cyathea multiflora,Cyatheaceae,0,0,0,4,0
Cyathea petiolata,Cyatheaceae,1,2,2,1,1
Cymbopetalum lanugipetalum,Annonaceae,89,88,88,91,91
Dendropanax arboreus,Araliaceae,553,543,538,487,449
Desmopsis panamensis,Annonaceae,19,19,19,16,14
Diospyros artanthifolia,Ebenaceae,59,59,58,65,60
Discophora guianensis,Stemonuraceae,17,21,21,29,26
Dussia atropurpurea,Fabaceae-papilionoideae,66,64,65,76,83
Erythrina costaricensis,Fabaceae-papilionoideae,15,12,12,12,10
Erythroxylum citrifolium,Erythroxylaceae,4,4,4,3,3
Erythroxylum macrophyllum,Erythroxylaceae,29,29,29,27,31
Eugenia coloradoensis,Myrtaceae,9,7,7,6,6
Eugenia sp.5,Myrtaceae,2,2,2,1,1
Eugenia sp.6,Myrtaceae,81,80,81,78,75
Euterpe precatoria,Arecaceae,144,137,133,116,125
Faramea luteovirens,Rubiaceae,4,4,4,3,2
Faramea multiflora,Rubiaceae,5,5,5,6,4
Faramea occidentalis,Rubiaceae,30,30,27,25,25
Ficus brevibracteata,Moraceae,1,1,1,1,2
Ficus bullenei,Moraceae,1,1,1,0,0
Ficus citrifolia,Moraceae,5,2,2,2,2
Ficus insipida,Moraceae,0,0,1,2,3
Ficus maxima,Moraceae,4,4,4,2,2
Ficus nymphaeifolia,Moraceae,1,1,1,0,0
Ficus sp.3,Moraceae,1,0,0,0,0
Ficus sp.6,Moraceae,1,1,1,0,0
Ficus tonduzii,Moraceae,2,2,2,3,3
Ficus yoponensis,Moraceae,0,0,0,0,1
Garcinia intermedia,Clusiaceae,0,0,0,0,1
Garcinia madruno,Clusiaceae,201,199,204,251,264
Geonoma congesta,Arecaceae,616,600,600,676,727
Geonoma cuneata,Arecaceae,257,253,246,294,294
Geonoma deversa,Arecaceae,2,2,2,1,1
Geonoma interrupta,Arecaceae,11,8,8,17,19
Grias cauliflora,Lecythidaceae,1,1,1,1,1
Guarea bullata,Meliaceae,3,3,4,4,4
Guarea grandifolia,Meliaceae,1,0,0,0,0
Guarea guidonia,Meliaceae,1,1,1,0,0
Guarea sherman,Meliaceae,53,53,53,54,55
Guatteria amplifolia,Annonaceae,73,71,70,73,79
Guatteria dumetorum,Annonaceae,233,222,227,259,266
Guazuma ulmifolia,Malvaceae,0,0,0,1,1
Gustavia fosteri,Lecythidaceae,1,1,1,1,1
Gustavia superba,Lecythidaceae,6,5,5,4,4
Hampea appendiculata,Malvaceae,11,10,9,17,7
Heisteria acuminata,Erythropalaceae,184,183,191,203,201
Heisteria concinna,Erythropalaceae,7,6,6,7,8
Henriettea succosa,Melastomataceae,30,27,27,23,24
Herrania nycterodendron,Malvaceae,23,20,18,17,13
Herrania purpurea,Malvaceae,3,2,2,2,2
Hieronyma alchorneoides,Euphorbiaceae,2,1,1,2,4
Hirtella racemosa,Chrysobalanaceae,110,108,108,101,101
Hirtella triandra,Chrysobalanaceae,6,6,5,10,9
Hoffmannia subauriculata,Rubiaceae,0,0,0,0,10
Humiriastrum diguense,Humiriaceae,13,13,14,20,19
Hymenolobium mesoamericanum,Fabaceae-papilionoideae,12,12,12,13,10
Inga bella,Fabaceae-mimosoideae,1,1,1,4,4
Inga cocleensis,Fabaceae-mimosoideae,124,106,96,52,41
Inga goldmanii,Fabaceae-mimosoideae,17,16,15,13,15
Inga multijuga,Fabaceae-mimosoideae,50,52,54,22,4
Inga nobilis,Fabaceae-mimosoideae,3,3,2,1,1
Inga pezizifera,Fabaceae-mimosoideae,444,384,360,227,258
Inga sertulifera,Fabaceae-mimosoideae,36,37,37,34,33
Inga spectabilis,Fabaceae-mimosoideae,4,4,4,4,3
Inga thibaudiana,Fabaceae-mimosoideae,4,4,5,61,85
Jacaranda copaia,Bignoniaceae,397,345,289,141,115
Jacaratia spinosa,Caricaceae,3,2,2,1,0
Lacistema aggregatum,Lacistemataceae,278,279,287,354,368
Lacmellea panamensis,Apocynaceae,109,106,103,77,71
Laetia procera,Salicaceae,19,18,18,12,11
Laetia thamnia,Salicaceae,1,1,1,0,0
Leandra dichotoma,Melastomataceae,0,0,0,0,1
Leandra granatensis,Melastomataceae,3,2,2,20,9
Licania hypoleuca,Chrysobalanaceae,79,80,83,99,123
Lonchocarpus heptaphyllus,Fabaceae-papilionoideae,11,11,11,49,57
Lozania pittieri,Lacistemataceae,128,112,118,123,108
Lunania parviflora,Salicaceae,1,1,1,1,1
Manilkara bidentata,Sapotaceae,300,309,323,409,478
Maquira guianensis,Moraceae,112,105,106,96,96
Maranthes panamensis,Chrysobalanaceae,187,186,190,209,218
Marila laxiflora,Clusiaceae,517,508,523,580,595
Matayba apetala,Sapindaceae,214,213,224,225,213
Maytenus schippii,Celastraceae,14,16,16,15,16
Meliosma glabrata,Sabiaceae,13,12,12,10,8
Miconia affinis,Melastomataceae,114,113,127,125,83
Miconia argentea,Melastomataceae,11,10,10,3,1
Miconia elata,Melastomataceae,70,68,73,72,53
Miconia ligulata,Melastomataceae,325,290,293,324,300
Miconia multispicata,Melastomataceae,15,16,17,40,32
Miconia nervosa,Melastomataceae,16,15,19,19,13
Miconia poeppigii,Melastomataceae,157,136,119,107,109
Miconia prasina,Melastomataceae,0,0,1,6,6
Miconia serrulata,Melastomataceae,49,44,44,48,38
Miconia simplex,Melastomataceae,251,259,269,284,324
Miconia sp.5,Melastomataceae,4,4,7,5,0
Mollinedia pinchotiana,Monimiaceae,177,176,182,160,136
Mortoniodendron anisophyllum,Malvaceae,59,56,53,43,34
Mosannona garwoodii,Annonaceae,2,2,2,1,0
Mouriri myrtilloides,Melastomataceae,45,45,47,45,46
Myrcia gatunensis,Myrtaceae,98,98,100,93,95
Myrciaria floribunda,Myrtaceae,24,24,24,29,32
Myriocarpa longipes,Urticaceae,0,0,0,1,0
Nectandra purpurea,Lauraceae,153,154,161,170,173
Neea amplifolia,Nyctaginaceae,56,58,61,51,56
Neea delicatula,Nyctaginaceae,0,0,1,0,0
Ochroma pyramidale,Malvaceae,0,0,2,1,0
Ocotea atirrensis,Lauraceae,146,147,150,127,100
Ocotea cernua,Lauraceae,3,3,3,4,4
Ocotea insularis,Lauraceae,84,85,89,108,119
Ocotea oblonga,Lauraceae,1,1,1,0,0
Ocotea puberula,Lauraceae,3,3,3,4,5
Ocotea whitei,Lauraceae,2,2,2,2,0
Oenocarpus mapora,Arecaceae,283,287,288,311,356
Ormosia coccinea,Fabaceae-papilionoideae,18,17,19,20,19
Ouratea prominens,Ochnaceae,42,41,41,45,49
Oxandra longipetala,Annonaceae,42,42,43,40,38
Palicourea guianensis,Rubiaceae,16,12,11,22,16
Parathesis trichogyne,Myrsinaceae,17,18,18,19,22
Pentagonia macrophylla,Rubiaceae,42,39,40,38,36
Pera arborea,Euphorbiaceae,326,322,319,269,245
Perebea xanthochyma,Moraceae,905,873,880,940,1010
Phyllanthus acuminatus,Phyllanthaceae,1,1,1,1,1
Picramnia latifolia,Picramniaceae,1,1,1,0,0
Piper aequale,Piperaceae,67,60,62,93,100
Piper arboreum,Piperaceae,43,33,32,39,38
Piper augustum,Piperaceae,47,42,54,101,61
Piper auritum,Piperaceae,0,1,1,1,0
Piper colonense,Piperaceae,1,1,1,5,9
Piper cordulatum,Piperaceae,23,27,33,42,42
Piper longispicum,Piperaceae,1,1,1,2,2
Piper reticulatum,Piperaceae,0,0,0,1,7
Piper schiedeanum,Piperaceae,0,0,0,2,1
Piper sp.5,Piperaceae,0,0,1,0,0
Pleuranthodendron lindenii,Salicaceae,32,23,21,11,9
Posoqueria latifolia,Rubiaceae,9,9,9,10,12
Poulsenia armata,Moraceae,31,24,24,22,30
Pourouma bicolor,Urticaceae,140,130,125,118,119
Pouteria reticulata,Sapotaceae,30,31,30,30,28
Pouteria sp.4,Sapotaceae,1,1,1,1,0
Prestoea decurrens,Arecaceae,20,13,13,15,16
Protium glabrum,Burseraceae,59,53,48,60,55
Protium panamense,Burseraceae,1361,1335,1346,1380,1386
Protium tenuifolium,Burseraceae,1,1,1,1,0
Pseudobombax septenatum,Malvaceae,0,0,0,1,0
Pseudolmedia spuria,Moraceae,13,13,14,20,21
Psychotria acuminata,Rubiaceae,0,0,0,2,1
Psychotria brachiata,Rubiaceae,0,0,0,0,1
Psychotria brachybotrya,Rubiaceae,0,1,1,2,2
Psychotria chagrensis,Rubiaceae,6,6,7,2,3
Psychotria deflexa,Rubiaceae,3,2,3,4,2
Psychotria elata,Rubiaceae,71,45,39,75,52
Psychotria erecta,Rubiaceae,6,7,9,7,8
Psychotria poeppigiana,Rubiaceae,4,3,4,11,5
Psychotria suerrensis,Rubiaceae,219,196,211,168,144
Pterocarpus rohrii,Fabaceae-papilionoideae,1,1,1,0,0
Quiina schippii,Quiinaceae,82,79,84,73,65
Randia armata,Rubiaceae,3,3,3,1,1
Sapium broadleaf,Euphorbiaceae,6,6,6,16,15
Sapium glandulosum,Euphorbiaceae,0,0,0,2,12
Saurauia yasicae,Actinidiaceae,12,9,10,9,8
Schefflera morototoni,Araliaceae,64,58,56,42,37
Schizolobium parahyba,Fabaceae-caesalpinioideae,2,2,1,1,1
Simarouba amara,Simaroubaceae,180,169,159,145,162
Siparuna guianensis,Siparunaceae,0,0,0,1,1
Siparuna pauciflora,Siparunaceae,1,1,1,3,3
Sloanea meianthera,Elaeocarpaceae,157,151,153,145,142
Sloanea terniflora,Elaeocarpaceae,1,1,1,1,1
Socratea exorrhiza,Arecaceae,609,601,618,660,756
Solanum hayesii,Solanaceae,0,0,0,3,5
Sorocea affinis,Moraceae,41,36,35,27,26
Spondias mombin,Anacardiaceae,0,0,0,0,4
Spondias radlkoferi,Anacardiaceae,2,2,2,1,2
Swartzia simplex,Fabaceae-papilionoideae,301,294,302,316,323
Symphonia globulifera,Clusiaceae,127,129,132,147,150
Synechanthus warscewiczianus,Arecaceae,444,427,402,444,479
Tabernaemontana arborea,Apocynaceae,31,31,31,30,24
Tachigali versicolor,Fabaceae-caesalpinioideae,539,531,553,539,481
Tapirira guianensis,Anacardiaceae,726,735,755,797,779
Terminalia amazonia,Combretaceae,12,11,11,12,13
Tetrorchidium gorgonae,Euphorbiaceae,37,35,34,28,23
Theobroma bernoullii,Malvaceae,151,147,146,139,125
Thevetia ahouai,Apocynaceae,0,0,0,2,2
Tocoyena pittieri,Rubiaceae,24,23,23,17,11
Tovomita longifolia,Clusiaceae,1301,1301,1321,1281,1268
Tovomita stylosa,Clusiaceae,903,904,914,995,1037
Trattinnickia aspera,Burseraceae,112,108,99,77,83
Trichilia tuberculata,Meliaceae,12,12,12,11,9
Trichospermum galeottii,Malvaceae,7,3,3,3,3
Turpinia occidentalis,Tapisciaceae,2,2,2,1,0
Unidentified (sherman),Unknown,1,1,1,0,0
Unidentified species,Unknown,7,1,5,3,0
Unonopsis bullata,Annonaceae,555,557,570,636,635
Unonopsis pittieri,Annonaceae,0,0,0,1,0
Vantanea depleta,Humiriaceae,30,29,29,28,29
Virola elongata,Myristicaceae,247,254,264,295,300
Virola multiflora,Myristicaceae,143,139,144,172,188
Virola sebifera,Myristicaceae,299,315,329,436,480
Virola surinamensis,Myristicaceae,40,40,41,55,61
Vismia baccifera,Clusiaceae,41,41,43,47,49
Vismia macrophylla,Clusiaceae,63,44,39,29,25
Vochysia ferruginea,Vochysiaceae,175,166,158,160,191
Xylopia macrantha,Annonaceae,338,335,344,361,362
Zanthoxylum acuminatum,Rutaceae,1,1,1,1,1
Zanthoxylum panamense,Rutaceae,1,0,0,1,1
